LP	source	translation	reference	HUMAN_score	sentBLEU
fi-en	Kyseessä oli valitettava sanavalinta, olemme pahoillamme, että näin kävi.”	in question did complaining choice , do sorry , that i see work &quot; .	it was an unfortunate choice of words , we &apos;re sorry it happened . &apos;	-1.26995343271207	0.10343599999999999
fi-en	Revontulet ovat talvimatkailumme valttikortteja, ja ne yhdistetään vahvasti sydäntalveen ja lumisiin maisemiin.	aurora are talvimatkailumme trump cards , and they are linked to a strong sydäntalveen and lumisiin landscapes .	the aurora borealis are the main assets for our winter travel , and they are strongly connected with midwinter and snowy landscapes .	-1.23817692802717	0.180507
fi-en	Päällikkö Earl Phillip ”otti esiin pistoolin, laittoi oikean etusormensa liipaisimelle ja työnsi piipun Vincentin polvilumpiota vasten”, Bordini sanoi kanteessa.	päällikkö earl phillip &quot; raised pistoolin , put the right etusormensa liipaisimelle and put in the context of the &quot; , expressing their opposition polvilumpiota vincent bordini said the action .	the director , earl phillip , &quot; produced a pistol , put his right index finger on the trigger , and drove the barrel into vincent &apos;s knee cap , &quot; bordini said in the complaint .	-1.23035546255435	0.08440460000000001
fi-en	Taka-askeleita ei ole kuitenkaan luvassa.	taka-askel do not nevertheless in authorisation .	there will be no steps backwards , though .	-1.2302900456553998	0.139587
fi-en	Tässä kohtaa uutisraporttia todennäköisesti näyttäisin vakavan huolestuneelta selaillessani bossa nova -kokoelmien pinoa.	in this faces news report likely i say serious worried browse bossa nova -collections &apos;s pile .	at this stage of the news report , i would probably be looking gravely concerned while flicking through a stack of bossa nova compilations .	-1.22843141322328	0.08398380000000001
fi-en	Almodóvar-filmeille usein niin tunnusomaiseen räiskyvyyteen aina huumoria myöten Julietassa on reilu etäisyys.	almodovar-the id of the particular films often räiskyvyyteen always with humor , right down to the julietassa is a fair distance from the centre .	julieta has long distance to the sparkling , including humour , that so often characterises almodóvar ’ s films .	-1.2214105491318998	0.0817178
fi-en	Eksoten tulos oli 4,3 miljoonaa euroa ylijäämäinen ensimmäisellä vuosipuoliskolla.	eksoten result did 4.3 million euros ylijäämäinen in first vuosipuolisko .	eksote ’ s result showed a surplus of 4,3 million euros during the first half of the year .	-1.2011772628864799	0.0861471
fi-en	Poliisi räjäytti paketin ja päästi yleisön halliin vasta sen jälkeen.	the police was the package and was leaking to the public halliin until then .	the police detonated the package and let the audience in only after that .	-1.18647052484227	0.195648
fi-en	Seuraavalla kerralla varkaisiin lähdetään hanskat kädessä.	next at once to thieves is left gloves in hand .	the next time , the thieves will use gloves .	-1.17922874492178	0.143231
fi-en	Tuulia rikottiin selvästi.	tuula violate palpably .	the offence against tuuli was a clear one .	-1.14141441779126	0.102942
fi-en	Päätöksessä sanotaan myös, että uima-asut, jotka suureellisesti ilmaisevat uskonnollisia kytköksiä, voivat lisätä järjestyshäiriöiden riskiä Ranskassa, joka on ollut terroristihyökkäysten kohteena.	in decision is said also , that uima garb , who expansive sti they express religious linkages , they feel to increase järjestyshäiriö in risky france , each do do terroristihyökkäys &apos;s target .	the ruling also states that beachwear which ostentatiously displays religious affiliation is liable to create risks of disrupting public order in france , which has been a target for terrorist attacks .	-1.1361350707395201	0.0646849
fi-en	Ansiosidonnaisen työttömyysturvan kesto lyhenee 500 päivästä 400:aan.	ansiosidonnainen työttömyysturva duration shortens 500 dinners 400 .	the duration of earnings-related unemployment security will shorten from 500 days to 400 days .	-1.11794916501385	0.08406
fi-en	Poliisi teki samassa yhteydessä viisi muuta pidätystä ja kuulusteli kahta henkilöä ennen näiden vapautusta.	to polish make samassa connected not a bit other arrest and interrogate two persons before this &apos;s exemption .	in the same connection , the police made five other arrests and questioned two people before releasing them .	-1.11708659396306	0.0847543
fi-en	Almodóvar on panostanut dialogiin, tuloksena on hieman tasapaksun kirjallinen kirjallisuusfilmatisointi.	almodóvar has invested in the dialogue , the result is a little bit tasapaksun written kirjallisuusfilmatisointi .	almodóvar has invested in the dialogue , and the result is a slightly monotonous literary literature cinematisation .	-1.10196361400029	0.509057
fi-en	Murhatuomion saanut 17-vuotias hyökkäsi tuomion perustelujen mukaan takaapäin olohuoneen sohvalla istuneen ohjaajan kimppuun.	murhatuomion received a 17-year-old attacked the ruling , according to the explanatory statement from olohuoneen sohvalla a director .	according to the court ’ s rationale for the sentence , the 17-year old who was sentenced for murder attacked the supervisor from behind , as this was sitting on the living room sofa .	-1.08659654323864	0.0679572
