LP	source	translation	reference	HUMAN_score	sentBLEU
lv-en	"Emets Makfarlains ierakstīja Twitter: ""Vai tiešam CBC komentētājs tikko teica, ka 14 gadīgā peldētāja no Ķīnas ""nobeidzās kā cūka""????""."	emets makfarlains beard : &quot; are you a direct cbc just said 14 strabane theismann from china &apos; , as in &apos; ? ? ? ? &quot; .	emmett macfarlane tweeted , &quot; did the cbc announcer just say the 14-year-old swimmer from china &apos; died like a pig &apos; &quot; ? ? ? ?	-1.68253166003065	0.188521
lv-en	Mūsējie garāki nepaliek.	ours longer stays .	our athletes cannot grow taller .	-1.6170782296726298	0.21792899999999998
lv-en	No pirmā līdz pēdējam vēzienam, Helēnas Gloveres un Heteres Staningas zelta mirklim bija īpaša nozīme Estacio da Lagoa trasē.	from the first to the last , vēzienam gloveres staningas and achieve gold , had a special role in estacio da rip david . &quot;	from the first stroke to the last , 220 punishing heaves into history , helen glover and heather stanning found added meaning in their golden moment at the estacio da lagoa .	-1.5445264331888602	0.163404
lv-en	Starp netīrākajām pludmalēm ir arī peldvietas Rīgā.	between netīrākajām beaches are also sites in riga .	the swimming areas of riga are also on the list of the dirtiest beaches .	-1.51427442089108	0.11341199999999999
lv-en	Savukārt sestdien notiks izšķirošais finālbrauciens par medaļām.	it will be parazynski might on the medals .	the decisive final race for medals is taking place on saturday .	-1.5109798433732098	0.127166
lv-en	Sievietes gatavoja ēst saviem vīriem-strādniekiem un brokastīs, pusdienās un vakariņās tika pasniegti svaigi pagatavoti sacepumi.	the women were preparing to eat their husbands-workers and breakfast , lunch and dinner so freshly prepared for fresh sacepings .	teams of women cooked for male farmworkers , and fresh-baked pie was served at breakfast , lunch and dinner .	-1.5078445762384498	0.241786
lv-en	Cietusī nakts vidū nogūlās uz lielceļa.	so in the middle of the night in the escapees .	the victim was lying on the motorway in the middle of the night .	-1.44964263773961	0.41803
lv-en	Ķīpsalas pludmalē uzstādīts plašs, multifunkcionāls rotaļu kuģis ar dažādiem kāpelēšanas elementiem, tiltiņiem, spēlēm, trubām un slidkalniņiem.	&quot; he said that a broad , playgrounds , a ship with various elements of the blackberry , the loud , one-bedroom apartment .	a spacious , multifunctional ship-like play-structure with various climbing elements , little bridges , games , tubes and slides has been set up on the kipsala beach .	-1.4136156991795599	0.07809939999999999
lv-en	Nepilnas pusstundas laikā likumsargi noskaidroja bērnu vecāku iespējamo atrašanās vietu un devās turp.	the law has been cleared by the legal vacancies of children &apos;s parents and went on to the point .	in less than half an hour the police officers identified the possible location of the children &apos;s parents .	-1.41282950525213	0.139245
lv-en	Turklāt sauszemē atstātie atkritumi lietusgāžu laikā var tikt ieskaloti ūdenī, tādējādi krietni pabojājot tā kvalitāti.	in addition , the waste water during heavy rainfall may be ieskaloti , thus it is a male quality .	besides , garbage left on the ground can be washed into the water during heavy rain thus largely damaging its quality .	-1.3501409011235	0.139003
lv-en	Un tas nekas, ka uz slapjās skatuves kādai gadījās arī paslīdēt.	and it &apos;s nothing that the wet stage a paslīdēt also came into being .	and it is not a big deal that a few feet slipped on the wet stage .	-1.2931761717722001	0.176342
