LP	source	translation	reference	HUMAN_score	sentBLEU
tr-en	Yine aynı uygulamada ihbarcının istemesi halinde kendisine dönüş yapılacak.	again , the same practice ihbarcının him if a return to the city .	again , in the same application , if the informers want , they are responded to .	-1.42250951537399	0.136755
tr-en	Ben de bağırdım.	shouting at me .	i shouted .	-1.36204066715303	0.359304
tr-en	"Adil Öksüz'ün ""34 SIR 49"" plakalı otomobili kayınpederinin evinin garajında bulundu."	adil Öksüz &quot; 34 of 49 sir garajında cars &quot; license plates , and her father &apos;s house .	adil Öksüz &apos;s car with the registration number &quot; 34 sir 49 &quot; was found in the garage of his father in law &apos;s house .	-1.31672024426395	0.126505
tr-en	Ayrıca 18 yaşını doldurmuş olan her hastaya uygulanabilen bu prosedürün sizin için de uygun olup olmadığını öğrenmek için göz hastalıkları uzmanına başvurabilirsiniz.	in addition , filling each patients age 18 uygulanabilen this procedure for you is also in line to be seen if başvurabilirsiniz expert eye diseases .	you can consult an optometrist to learn whether this procedure , which can be applied to all patients over 18 years old , is also appropriate for you or not .	-1.29071199888717	0.0869682
tr-en	Başta aşağı mükemmellik.	especially down the slope .	brilliant all over .	-1.24298115452499	0.273012
tr-en	Muhtar sen şikayetçi misin dedi.	misin complain about so much rakia said in a statement .	the neighborhood representative asked me if i was making a complaint .	-1.23769393521173	0.115105
tr-en	"""DARBE GİRİŞİMİNDE BULUNANLARIN DEVLETTEN TEMİZLENMESİ GEREKİYOR"""	&quot; blow &quot; gİrİŞİmİnde bulunanlarin devletten temİzlenmesİ gerekİyor	&quot; those who committed the coup attempt should be cleared from the state &quot;	-1.22747033594423	0.0838328
tr-en	Cevat Yıldırım ile eşi Hatice Yıldırım adliyeye sevk edildi.	yildirim xhevat yildirim and his wife should drive cars have been transferred .	cevat yıldırım and his wife hatice yıldırım were sent to the court .	-1.21057213795171	0.18798299999999998
tr-en	Bayındır Tıp Merkezi'ne götürdük hep beraber ama iş işten geçmişti.	götürdük bayındır medical centre has been fired , but everyone &apos;s business .	we brought him together to the bayındır medical center but it was too late .	-1.19468975219051	0.12246800000000001
tr-en	"'Yeni bir külot alıp eve gittiğimde, külotu başkasının giyip çıkardığını ve yıkanmadan bana geldiğini düşünmek gerçekten çok kötü olurdu."""	a new külot , and when i went home , dressed and yıkanmadan külotu somebody told me it would have been really very bad to think about it , &quot; he said .	&apos;i &apos;d hate to get home with a new pair of knickers and find another woman had put them on and taken them off again , and they hadn &apos;t been washed . &apos;	-1.1756131604053002	0.0699027
tr-en	"""TÜRKİYE'NİN BU SIKINTIDAN KURTULMASI LAZIM"""	in &quot; tÜrkİye nİn sikintidan kurtulmasi lazim bu &quot;	&quot; turkey needs to get rid of this distress &quot;	-1.15805051764856	0.139771
tr-en	Snapchat mercekleri, geçmişte uygulamanın siyahi sınıflandırmayı desteklediği veya beyazlaştırılmış cilt tonlarını güzellik ideali olarak sunduğu suçlamalarıyla karşılaşmıştı.	snapchat mercekleri , backed by among others , in the past , is that black skin or beyazlaştırılmış tonlarını presented as a beauty ideal karşılaşmıştı charges .	snapchat lenses have drawn criticism in the past with accusations that the app was promoting blackface or encouraging whitened skin tones as an ideal of beauty .	-1.14816851753084	0.11002100000000001
tr-en	"1977'den, öldüğü 1997'ye kadar her an Türkeş'in yanında olan Pehlivanoğlu, ""Bugüne kadar kimseye anlatmadım ama Muhsin Yazıcıoğlu'nun helikopterinden parça söken o asker görüntüsünü izleyip aynı askerin Cumhurbaşkanımızı öldürmek için görevlendirilen darbecilerin içinde olduğunu gördükten sonra konuşmak durumunda kaldım"" dedi."	from 1977 until 1997 , died at any moment , &quot; so far , so i didn &apos;t tell anyone , but with türkeş pehlivanoğlu muhsin yazıcıoğlu &apos;s helicopter part of the yarn , that soldier görüntüsünü watch and the same of our president to speak after he saw i was in charge of the situation , &quot; he said .	having always been with türkeş from 1977 to 1997 when he died , pehlivanoğlu said , &quot; i have not told anyone until today but i have to speak out after watching the image of that soldier removing a part from the helicopter of muhsin yazıcıoğlu and seeing that the same soldier was among the coup plotters who were assigned the duty of killing our president . &quot;	-1.1287512673818898	0.0642033
tr-en	Bam bu takımdaydı.	this takımdaydı bam .	bam was on that team .	-1.1146397092437	0.24117800000000003
tr-en	Çoğu ev ekonomisi tarifinde bu öne çıkan bir özellikti.	the majority of homes in this economy a tarifinde özellikti .	it was characteristic of a lot of the home-ec recipes .	-1.10675987449282	0.143231
tr-en	BODRUM ÖRNEK ALINDI	bodrum Örnek alindi	bodrum was taken as a model	-1.08738005847187	0.197656
tr-en	Darbeciler Türksat'taki yayını kesmeyi başaramayınca Samanyolu TV'nin uzmanlarını getirdi.	cut the publication in türksat darbeciler başaramayınca wrote in a report to the experts .	when the coup plotters could not succeed in cutting the broadcast in türksat , they brought experts from samanyolu tv .	-1.08317231815747	0.0927346
tr-en	Kalktım.	i was alcohol .	i stood up .	-1.06504275815592	0.397635
tr-en	Okyanusları buharlaştı ve su buharı ultraviyole ışın ile yanarak yok oldu.	he has been able to find out , and there was no way out of the water and the sake of extravagers .	its oceans evaporated and its water vapor was burned away by ultraviolet light .	-1.05582911872909	0.0665422
tr-en	Robin van Persie ise hafif yaralı kurtarılmıştır.	robin van persie is slightly rescued .	robin van persie was rescued but slightly wounded .	-1.0310752129510299	0.29881399999999997
tr-en	Bodrum'dan esinlenip, Sivas'ta 'örnek köy' yaptılar	bodrum from esinlenip sivas , for example in in in the village they did	they were inspired by bordum and made a &apos; model village &apos; in sivas	-1.0257927771112099	0.111149
