LP	source	translation	reference	HUMAN_score	sentBLEU
zh-en	海伦·格拉芙和希瑟·斯坦宁在五年中未尝败绩。	helen graf and heather xi solyariya in five years the outstanding defeats .	helen glover and heather stanning haven &apos;t lost a race in five years .	-1.72661334626707	0.210366
zh-en	而陈一冰则在率领中国拿到2012年奥运团体冠军的同时，也成为了吊环王。	and chen yibing , who led china to the 2012 olympic group champion , was also the king .	but after he was misjudged and lost the gold in the london olympic games , his magnanimous act won him so many funs .	-1.63781318601382	0.0700017
zh-en	戴图理凭借 Predilection 在纽马基特的成功取得职业3,000胜	through the successful occupation of the president at new york , 3,000	frankie dettori reaches 3,000 winners with victory at newmarket on predilection	-1.60192713963974	0.114988
zh-en	作为金满贯得主的纳达尔，对奥运会情有独钟，伤未痊愈的他，此次三线出击，斩获颇丰。	as the of jin man , , the olympic games to the olympics , injury to him , the three - line attack , a great deal .	nadal , the grand slam gold winner , shows special preference to the olympic games . the unhealed nadal struck and made a huge gain .	-1.4829333207708701	0.117862
zh-en	而我们则面向女性。	and we face women .	i do this for women .	-1.4554492936678298	0.294173
zh-en	毕竟运动员踏入一个新的领域，无论是能力还是人脉，均是一个空白状态。	after all the athletes stepping into a new field , whether it is ability or contacts , are a blank state .	even for tian liang and liu xuan , who are not new in the entertainment circle , common people always think of their performance at the olympic games when mentioning them .	-1.45243953271063	0.0480859
zh-en	一位推特用户最近开心地在网上宣称“其他网民也认为霍普·索罗和珍妮弗·卡彭特实际上长得一模一样。”	&quot; other internet users believe that the other internet users are actually identical , &quot; he said online .	one twitter user took to the site recently to declare her happiness that &apos; the rest of the internet thinks that hope solo and jennifer carpenter are actually identical . &apos;	-1.36973996646155	0.0757954
zh-en	刘宇禁区前凶狠铲抢侵犯克里梅茨，他与情绪激动的王栋相继领到黄牌。	liu kuyu &apos;s forbidden area in front of the ferocious shovel to violate kermez , he and his emotional agitation wang the succession to the yellow card .	liu yu forcefully tackled and intruded egor krimets . he and the exciting wang dong got the yellow card .	-1.3480292305576298	0.15146300000000001
zh-en	科先生扮了个怪相。	kuwait gentleman has played the role of a moue .	mr. coe grimaced .	-1.33455075740676	0.12605999999999998
zh-en	国安在第37分钟就进行换人调整，张晓彬下场，张池明登场反戈旧主。	in the 37th minute , mr ann undertook a change of change , zhang xiaobin , zhang ming in the old lord .	guoan changed a person at the 37th minute . zhang xiaobin left the playing field and zhang chiming came on the stage and turned his weapon around to defense .	-1.30757052229347	0.0981636
zh-en	现年63岁的流浪者韩某与另一流浪汉肖某酒后发生争执，遂持刀将其扎死。	the 63 homeless , a 63 homeless , had a knife with another tramp , and he was killed by a knife .	the current 63-year-old wanderer han and another tramp xiao had a dispute after alcohol drinking . then han stabbed xiao to death with a fruit knife .	-1.3019529119576698	0.0963138
zh-en	23岁的格拉斯哥自行车手斯金纳表示：“这让我受宠若惊。”	&quot; it makes me flattered , &quot; said glasgow bike hand skinner , aged $ number . &quot;	the 23-year-old skinner , from glasgow , said : &quot; it &apos;s a flattering comparison . &quot;	-1.29513179836859	0.144001
zh-en	前不久，努比亚也推出了其Z11系列的首款作品：nubiaZ11mini。	before long , also launched a series of &apos; s works .	not long ago , nubia also launched the first works of its z11 series : nubiaz11mini .	-1.25343673590203	0.11864000000000001
zh-en	父母的一言一行都会影响到孩子的成长，他们会模仿自己的父母，也就是人们常说的龙生龙，凤生凤，老鼠的儿子会打洞，父母什么样孩子就什么样。	the parents &apos; actions will affect the growth of the child , and they will imitate their parents , which is often said to be the dragon , the phoenix , the mouse , the child will make a hole , the parents what kind of child .	parents &apos; words and deeds will affect the growth of their children because they will imitate their parents . and that is the so called , &quot; like father , like son &quot; . your son will be the same as you .	-1.25035451033567	0.202022
zh-en	朗兹曼写道。	朗兹曼 wrote .	lanzmann wrote .	-1.24503937515493	0.7071069999999999
zh-en	“我自认为除了络腮胡以外，并不是长得很像，”布莱迪对《赫芬顿邮报》(Huffington Post) 说。	&quot; i thought that in addition to the cheek hu , it is not very long , &quot; brady told the huffington post .	&apos;i personally don &apos;t see a huge resemblance , maybe besides the facial hair , &apos; brady told huffington post .	-1.22901166722857	0.124096
zh-en	刘璇靓丽的外表让她迅速被人们记住，也奠定了她今后进军娱乐圈的基础。	liu xuan beautiful appearance so that she was quickly remembered , but also laid her future into the entertainment circle basis .	after retirement , liu xuan starred in a number of tv series , and in 2013 she set up her own studio .	-1.2137111010866102	0.0860878
zh-en	开普勒测量昂宿星团恒星的自转速度	kepler surveys to raise su cluster star the auto-rotation rate	kepler measures spin rates of stars in pleiades cluster	-1.18685198644682	0.139508
zh-en	而他和女儿参加“爸爸去哪”等综艺节目，更是让他赚足了眼球。	he and his daughter took part in a variety show such as &quot; where &apos;s daddy go , &quot; which made him pay attention .	the once gold generation yang wei , li xiaopeng and chen yibing all participated in a variety of variety show .	-1.1443216124268	0.115566
zh-en	尤其值得玩味的是政府对于饥饿民众们的回应，比如总统市民赫伯特·胡佛“别人的事我可管不了”的态度。	it is particularly interesting to note the government &apos;s response to the hungry people , such as the president &apos;s people herbert buddha &quot; other people &apos;s things i can not control &quot; attitude .	especially savory are the accounts of the government &apos;s response to its hungry citizenry , like president herbert hoover &apos;s let-me-eat-cake attitude .	-1.14256733968366	0.163408
zh-en	其实50米自由泳并非宁泽涛主项，他在喀山世锦赛上的表现和最好成绩，也决定了他在这个项目取得突破的可能性不大。	in fact , the 50-meter freestyle is not the main item in ningzhi , his performance and best achievement on the kangshan world championship , also determined that he is unlikely to make a breakthrough in this project .	sure enough , ta kung pao , an authoritative media in hong kong , revealed that the biggest reason for ning zetao to lose is that he has lost interest in swimming .	-1.1421228030850301	0.057514199999999994
zh-en	退一万步说，宁泽涛长得帅，完全可以依靠颜值获得万千脑残粉的支持。	ten thousand steps to say that it &apos;s handsome , completely relying on the value of the support of the brain powder .	at the very least , ning zetao can totally rely on his great looks to win the support of thousands of huge fans .	-1.1140276620743301	0.11857999999999999
zh-en	就该了不起的项目而言，此次合龙展现出前沿的土木工程技术。	as far as this remarkable project is concerned , the dragon shows the backbone of civil engineering .	on this fantastic project , this closure represents leading edge civil engineering .	-1.11265606369633	0.145768
zh-en	云南省首届青运会13日开赛开幕式打民族牌展示青春活力	the opening ceremony of the opening ceremony of the first olympic games of yunnan province on the opening ceremony of yunnan province	the opening ceremony of the first youth games of yunnan province on the 13th day of the month showed youth vitality	-1.08057901170094	0.48062200000000005
zh-en	拜尔斯才19岁。从本周早些时候起，其消息就在推特上病毒般传播开来。就拜尔斯而言，其人生已被赋予了全新意义。	balls was 19 years old. from earlier this week , the news has spread like a virus on twitter , and was a .	as for biles , the 19-year-old &apos;s viral tweet from earlier this week now carries a whole new meaning :	-1.06951942597958	0.167678
zh-en	据了解，此前乌鲁木齐市旅游执法部门已对西公园、红山等旅游散客集中的地方进行了检查。	it is understood that law enforcement departments have had to travel in urumqi in west park , red tourism , such as retail districts were checked .	it is reported that the urumqi city tourism law enforcement department has investigated the places including west park and hongshan where the independent travelers are centralized .	-1.06731157885283	0.09727569999999999
zh-en	与很多互联网医疗公司贪大求全不同，iBaby从最初就专注于互联网产科垂直领域，深耕孕妈和医生两端。	unlike many internet healthcare companies , i was initially focused on the vertical field of the internet obstetrics , with deep tillage and doctors on both sides .	unlike many internet medical companies which go in for grandiose projects , ibaby focuses on the internet obstetrics vertical field and be professional on pregnant mothers and doctors .	-1.0593871132586998	0.155453
